"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*04mn5*","Alec Bohm","PHI","3B","387","FA","","55.14","90%","0%","484","135","29","12","2",".331","113","129"
"*05u9o*","Sal Stewart","CIN","1B,3B","390","FA","","54.81","95%","0%","388","105","24","20","7",".343","93","109"
"*01s8u*","Mike Trout","LAA","OF,UT","394","FA","","54.2","99%","0%","446","105","15","27","2",".360","107","123"
"*03qmh*","Jake Cronenworth","SD","2B","395","FA","","54.1","63%","-3%","465","111","26","13","3",".342","111","137"
"*04o78*","Matt Wallner","MIN","OF","397","FA","","54.02","62%","-2%","387","86","26","23","5",".334","86","110"
"*041e2*","Mickey Moniak","COL","OF","402","FA","","53.78","74%","-1%","407","108","26","18","9",".303","90","122"
"*031dw*","Mike Yastrzemski","ATL","OF","408","FA","","53.54","47%","-2%","426","99","27","17","5",".320","98","126"
"*04aeb*","Royce Lewis","MIN","3B","409","FA","","53.5","93%","-1%","409","102","19","19","13",".302","90","107"
"*05r9j*","Marcelo Mayer","BOS","3B","410","FA","","53.48","80%","-5%","387","92","31","11","10",".309","92","102"
"*05ahg*","Austin Wells","NYY","C","412","FA","@SF Wed 8:05PM","53.36","72%","-3%","380","86","22","19","3",".303","101","113"
"*05yj1*","Nolan Schanuel","LAA","1B","413","FA","","53.36","73%","-4%","495","129","22","11","6",".353","101","133"
"*03pji*","KeBryan Hayes","CIN","3B","417","FA","","53.1","38%","-3%","534","127","20","11","12",".291","95","146"
"*026lz*","Josh Bell","MIN","1B","423","FA","","52.91","48%","-2%","478","120","23","21","0",".338","98","137"
"*03zcy*","Mark Vientos","NYM","3B","424","FA","","52.83","74%","-5%","458","109","23","22","1",".303","98","124"
"*03nru*","Jesus Sanchez","TOR","OF","426","FA","","52.78","49%","-4%","412","100","23","15","12",".314","89","124"
"*03qjv*","Harrison Bader","SF","OF","427","FA","NYY Wed 8:05PM","52.77","47%","-3%","449","111","22","15","10",".306","96","136"
"*05rbv*","Samuel Basallo","BAL","C","429","FA","","52.6","95%","-1%","382","96","19","22","3",".333","85","107"
"*04pt2*","Lars Nootbaar","STL","OF","431","FA","","52.56","58%","-4%","474","114","24","14","4",".338","99","125"
"*04yig*","Brooks Lee","MIN","2B,3B,SS","433","FA","","52.48","68%","-4%","487","117","25","15","3",".299","100","133"
"*0516n*","Isaac Collins","KC","OF","434","FA","","52.45","52%","-5%","361","87","23","8","17",".369","91","122"
"*05rch*","Colson Montgomery","CHW","SS","436","FA","","52.37","95%","-1%","459","99","17","21","5",".306","100","124"
"*04pmu*","Ryan Jeffers","MIN","C","438","FA","","52.29","56%","-3%","412","103","24","15","1",".337","91","112"
"*041ai*","Gavin Lux","TB","OF,UT","440","FA","","52.23","43%","-4%","450","117","34","6","3",".342","103","138"
"*05xty*","Dylan Beavers","BAL","OF","442","FA","","52.1","83%","-3%","395","96","18","16","14",".357","82","122"
"*01sy3*","Nolan Arenado","ARI","3B","444","FA","","52.04","68%","-3%","469","121","22","15","4",".315","103","123"
"*03btu*","Willi Castro","COL","2B,3B,OF","446","FA","","51.95","67%","-2%","391","99","23","10","14",".336","91","114"
"*04t3y*","Alejandro Kirk","TOR","C","448","FA","","51.82","88%","-1%","444","121","20","12","1",".345","100","125"
"*0473m*","Zach McKinstry","DET","3B,SS,OF","449","FA","","51.82","66%","-4%","397","96","26","8","16",".314","81","119"
"*05jsg*","Owen Caissie","MIA","OF","452","FA","","51.73","80%","-2%","428","98","27","15","6",".328","84","126"
"*04ai4*","Nolan Gorman","STL","2B,3B","454","FA","","51.7","61%","-2%","449","93","19","23","2",".291","102","125"
"*05gx4*","Dillon Dingler","DET","C","455","FA","","51.7","60%","-4%","421","112","23","15","0",".333","93","123"
