"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"156820","Blade Tidwell","[""p""]","SF","-25.17","50","0","0","0","0","0","0","0","39.3","2","35","4.22","1.31","2"
"147196","River Ryan","[""p""]","LAD","-25.4","50","0","0","0","0","0","0","0","38","3","36","4.59","1.39","0"
"163978","Austin Peterson","[""p""]","CLE","-25.44","50","0","0","0","0","0","0","0","38.7","2","30","4.58","1.27","1"
"113823","JJ Bleday","[""of"",""u""]","CIN","-25.47","50","349","316","13","2","0.311","68","17","0","0","0","0","0","0"
"144845","DJ Herz","[""sp"",""p""]","WAS","-25.47","50","0","0","0","0","0","0","0","33","2","34","4.14","1.32","2"
"171179","Konnor Griffin","[""u""]","PIT","-25.53","50","340","317","7","14","0.294","61","17","0","0","0","0","0","0"
"121919","Colton Gordon","[""sp"",""rp"",""p""]","HOU","-25.69","50","0","0","0","0","0","0","0","29.3","2","23","4.5","1.26","4"
"104855","Jordan Montgomery","[""sp"",""p""]","TEX","-25.75","50","0","0","0","0","0","0","0","48.3","3","39","4.95","1.39","0"
"156154","George Klassen","[""p""]","LAA","-25.76","50","0","0","0","0","0","0","0","45.7","2","47","4.52","1.4","0"
"131734","Richie Palacios","[""u""]","TB","-25.99","50","388","347","7","11","0.305","66","16","0","0","0","0","0","0"
"148298","Brady House","[""3b"",""ci"",""u""]","WAS","-26","50","402","380","12","3","0.281","72","17","0","0","0","0","0","0"
"151556","Cade Povich","[""sp"",""p""]","BAL","-26.06","50","0","0","0","0","0","0","0","33.7","2","32","4.26","1.3","0"
